Issue Key,Issue Type,Status,Resolved,Has '变更' Label,Team Parent,Team Child,Created
CVDTT-2052,故事,To Do,False,False,,,2024-10-18T17:45:28.000+0800
CVDTT-1677,任务,To Do,False,False,,,2024-08-27T17:55:40.000+0800
CVDTT-1632,故事,To Do,False,False,,,2024-08-20T18:51:16.000+0800
CVDTT-1621,故事,To Do,False,False,,,2024-08-20T18:42:11.000+0800
CVDTT-1619,故事,To Do,False,False,,,2024-08-20T18:36:55.000+0800
CVDTT-1426,任务,阻塞,False,False,,,2024-07-23T15:13:27.000+0800
CVDTT-1425,任务,阻塞,False,False,,,2024-07-23T15:11:59.000+0800
CVDG-28915,任务,任务完成 Done,True,False,大数据组,CDPMA,2025-04-22T16:06:45.000+0800
CVDG-28909,任务,To Do 待办,False,False,大数据组,CDPMA,2025-04-22T13:40:16.000+0800
CVDG-28657,故事,Story SIT测试完成,True,False,大数据组,CDPMA,2025-04-17T14:25:05.000+0800
CVDG-28656,BA工作任务,任务完成 Done,True,False,大数据组,CDPMA,2025-04-17T14:23:09.000+0800
CVDG-28654,任务,To Do 待办,False,False,大数据组,CDPMA,2025-04-17T14:18:42.000+0800
CVDG-28651,故事,开发测试执行中,False,False,大数据组,CDPMA,2025-04-17T14:01:48.000+0800
CVDG-28645,BA工作任务,任务完成 Done,True,False,大数据组,CDPMA,2025-04-17T13:54:13.000+0800
CVDG-28644,BA工作任务,任务完成 Done,True,False,大数据组,CDPMA,2025-04-17T13:52:41.000+0800
CVDG-28606,运维任务,To Do 待办,False,False,大数据组,CDPMA,2025-04-16T16:27:36.000+0800
CVDG-28316,任务,任务完成 Done,True,False,大数据组,CDPMA,2025-04-14T15:06:50.000+0800
CVDG-28241,运维任务,任务完成 Done,True,False,大数据组,CDPMA,2025-04-10T15:20:49.000+0800
CVDG-28119,运维任务,任务完成 Done,True,False,大数据组,CDPMA,2025-04-09T17:13:52.000+0800
CVDG-28105,任务,To Do 待办,False,False,大数据组,CDPMA,2025-04-09T15:53:26.000+0800
CVDG-28086,任务,任务完成 Done,True,False,大数据组,CDPMA,2025-04-09T14:44:21.000+0800
CVDG-28055,故事,To Do 待办,False,False,大数据组,CDPMA,2025-04-09T10:00:19.000+0800
CVDG-28054,BA工作任务,任务完成 Done,True,False,大数据组,CDPMA,2025-04-09T09:56:53.000+0800
CVDG-28053,BA工作任务,任务完成 Done,True,False,大数据组,CDPMA,2025-04-09T09:55:57.000+0800
CVDG-28052,BA工作任务,To Do 待办,False,False,大数据组,CDPMA,2025-04-09T09:52:33.000+0800
CVDG-28051,BA工作任务,To Do 待办,False,False,大数据组,CDPMA,2025-04-09T09:51:28.000+0800
CVDG-28050,任务,To Do 待办,False,False,大数据组,CDPMA,2025-04-09T09:49:50.000+0800
CVDG-27909,测试QA工作任务,To Do 待办,False,False,大数据组,CDPMA,2025-04-08T16:00:13.000+0800
CVDG-27908,故事,Story SIT测试完成,True,False,大数据组,CDPMA,2025-04-08T15:46:52.000+0800
CVDG-27902,故事,Story SIT测试完成,True,False,大数据组,CDPMA,2025-04-08T15:44:48.000+0800
CVDG-27896,BA工作任务,任务完成 Done,True,False,大数据组,CDPMA,2025-04-08T15:36:45.000+0800
CVDG-27894,BA工作任务,任务完成 Done,True,False,大数据组,CDPMA,2025-04-08T15:35:36.000+0800
CVDG-27890,任务,To Do 待办,False,False,大数据组,CDPMA,2025-04-08T15:26:22.000+0800
CVDG-27886,BA工作任务,To Do 待办,False,False,大数据组,CDPMA,2025-04-08T15:25:22.000+0800
CVDG-27884,测试QA工作任务,任务完成 Done,True,False,大数据组,CDPMA,2025-04-08T15:23:18.000+0800
CVDG-27883,故事,Story SIT测试完成,True,False,大数据组,CDPMA,2025-04-08T15:10:16.000+0800
CVDG-27882,故事,Story SIT测试完成,True,False,大数据组,CDPMA,2025-04-08T15:05:33.000+0800
CVDG-27876,任务,To Do 待办,False,False,大数据组,CDPMA,2025-04-07T15:13:48.000+0800
CVDG-27817,故事,Story SIT测试完成,True,False,大数据组,湖仓,2025-04-03T11:04:03.000+0800
CVDG-27816,测试QA工作任务,任务完成 Done,True,False,大数据组,湖仓,2025-04-03T11:01:12.000+0800
CVDG-27815,任务,任务完成 Done,True,False,大数据组,湖仓,2025-04-03T11:00:11.000+0800
CVDG-27814,任务,任务完成 Done,True,False,大数据组,湖仓,2025-04-03T10:59:48.000+0800
CVDG-27813,BA工作任务,任务完成 Done,True,False,大数据组,湖仓,2025-04-03T10:58:52.000+0800
CVDG-27812,BA工作任务,任务完成 Done,True,False,大数据组,湖仓,2025-04-03T10:58:24.000+0800
CVDG-27811,BA工作任务,任务完成 Done,True,False,大数据组,湖仓,2025-04-03T10:47:37.000+0800
CVDG-27810,BA工作任务,任务完成 Done,True,False,大数据组,湖仓,2025-04-03T10:47:05.000+0800
CVDG-27773,测试QA工作任务,任务完成 Done,True,False,大数据组,湖仓,2025-04-02T15:56:22.000+0800
CVDG-27772,BA工作任务,任务完成 Done,True,False,大数据组,湖仓,2025-04-02T15:52:57.000+0800
CVDG-27771,BA工作任务,任务完成 Done,True,False,大数据组,湖仓,2025-04-02T15:52:45.000+0800
CVDG-27770,任务,任务完成 Done,True,False,大数据组,湖仓,2025-04-02T15:52:32.000+0800
CVDG-27769,测试QA工作任务,任务完成 Done,True,False,大数据组,湖仓,2025-04-02T15:23:35.000+0800
CVDG-27767,任务,任务完成 Done,True,False,大数据组,湖仓,2025-04-02T15:18:31.000+0800
CVDG-27765,任务,任务完成 Done,True,False,大数据组,湖仓,2025-04-02T15:08:59.000+0800
CVDG-27762,BA工作任务,任务完成 Done,True,False,大数据组,湖仓,2025-04-02T15:04:11.000+0800
CVDG-27761,BA工作任务,任务完成 Done,True,False,大数据组,湖仓,2025-04-02T15:03:56.000+0800
CVDG-27754,BA工作任务,任务完成 Done,True,False,大数据组,湖仓,2025-04-02T14:33:27.000+0800
CVDG-27753,BA工作任务,任务完成 Done,True,False,大数据组,湖仓,2025-04-02T14:33:10.000+0800
CVDG-27716,BA工作任务,任务完成 Done,True,False,大数据组,湖仓,2025-04-01T16:31:41.000+0800
CVDG-27715,BA工作任务,任务完成 Done,True,False,大数据组,湖仓,2025-04-01T16:31:31.000+0800
CVDG-27707,故事,Story SIT测试完成,True,False,大数据组,湖仓,2025-04-01T15:33:41.000+0800
CVDG-27706,故事,Story SIT测试完成,True,False,大数据组,湖仓,2025-04-01T15:33:29.000+0800
CVDG-27691,任务,To Do 待办,False,False,大数据组,CDPMA,2025-04-01T13:52:05.000+0800
CVDG-27690,任务,To Do 待办,False,False,大数据组,CDPMA,2025-04-01T13:50:18.000+0800
CVDG-27666,故事,Story SIT测试完成,True,False,大数据组,CDPMA,2025-04-01T11:12:52.000+0800
CVDG-27595,测试QA工作任务,任务完成 Done,True,False,大数据组,湖仓,2025-03-31T15:15:16.000+0800
CVDG-27594,故事,Story SIT测试完成,True,False,大数据组,CDPMA,2025-03-31T14:51:23.000+0800
CVDG-27592,任务,任务完成 Done,True,False,大数据组,湖仓,2025-03-31T14:48:19.000+0800
CVDG-27591,任务,任务完成 Done,True,False,大数据组,湖仓,2025-03-31T14:48:06.000+0800
